i,j,x,y,p,w,q
7,32,0.156863,0.647059,0.748821,1.030450,0.047054
7,33,0.156863,0.666667,0.791599,1.031373,0.034596
7,34,0.156863,0.686275,0.837537,1.032295,0.024476
7,35,0.156863,0.705882,0.885937,1.033218,0.016664
7,36,0.156863,0.725490,0.936066,1.034141,0.010917
7,37,0.156863,0.745098,0.987165,1.035063,0.006882
7,38,0.156863,0.764706,1.038458,1.035986,0.004175
7,39,0.156863,0.784314,1.089168,1.036909,0.002437
7,40,0.156863,0.803922,1.138526,1.037832,0.001369
7,41,0.156863,0.823529,1.185784,1.038754,0.000740
7,42,0.156863,0.843137,1.230226,1.039677,0.000385
7,43,0.156863,0.862745,1.271178,1.040600,0.000193
7,44,0.156863,0.882353,1.308020,1.041522,0.000093
7,45,0.156863,0.901961,1.340192,1.042445,0.000043
7,46,0.156863,0.921569,1.367207,1.043368,0.000019
7,47,0.156863,0.941176,1.388656,1.044291,0.000008
7,48,0.156863,0.960784,1.404213,1.045213,0.000003
7,49,0.156863,0.980392,1.413642,1.046136,0.000001
8,0,0.176471,0.019608,1.444189,1.001038,0.000003
8,1,0.176471,0.039216,1.434063,1.002076,0.000007
8,2,0.176471,0.058824,1.417357,1.003114,0.000016
8,3,0.176471,0.078431,1.394325,1.004152,0.000037
8,4,0.176471,0.098039,1.365315,1.005190,0.000083
8,5,0.176471,0.117647,1.330767,1.006228,0.000178
8,6,0.176471,0.137255,1.291205,1.007266,0.000370
8,7,0.176471,0.156863,1.247228,1.008304,0.000740
8,8,0.176471,0.176471,1.199504,1.009343,0.001423
8,9,0.176471,0.196078,1.148756,1.010381,0.002632
8,10,0.176471,0.215686,1.095753,1.011419,0.004686
8,11,0.176471,0.235294,1.041298,1.012457,0.008027
8,12,0.176471,0.254902,0.986217,1.013495,0.013231
8,13,0.176471,0.274510,0.931345,1.014533,0.020987
8,14,0.176471,0.294118,0.877513,1.015571,0.032035
8,15,0.176471,0.313725,0.825539,1.016609,0.047054
8,16,0.176471,0.333333,0.776209,1.017647,0.066508
8,17,0.176471,0.352941,0.730272,1.018685,0.090459
8,18,0.176471,0.372549,0.688423,1.019723,0.118395
8,19,0.176471,0.392157,0.651298,1.020761,0.149113
8,20,0.176471,0.411765,0.619458,1.021799,0.180719
8,21,0.176471,0.431373,0.593388,1.022837,0.210762
8,22,0.176471,0.450980,0.573481,1.023875,0.236528
8,23,0.176471,0.470588,0.560039,1.024913,0.255433
8,24,0.176471,0.490196,0.553267,1.025952,0.265445
8,25,0.176471,0.509804,0.553267,1.026990,0.265445
8,26,0.176471,0.529412,0.560039,1.028028,0.255433
8,27,0.176471,0.549020,0.573481,1.029066,0.236528
8,28,0.176471,0.568627,0.593388,1.030104,0.210762
8,29,0.176471,0.588235,0.619458,1.031142,0.180719
8,30,0.176471,0.607843,0.651298,1.032180,0.149113
8,31,0.176471,0.627451,0.688423,1.033218,0.118395
8,32,0.176471,0.647059,0.730272,1.034256,0.090459
8,33,0.176471,0.666667,0.776209,1.035294,0.066508
8,34,0.176471,0.686275,0.825539,1.036332,0.047054
8,35,0.176471,0.705882,0.877513,1.037370,0.032035
8,36,0.176471,0.725490,0.931345,1.038408,0.020987
8,37,0.176471,0.745098,0.986217,1.039446,0.013231
8,38,0.176471,0.764706,1.041298,1.040484,0.008027
8,39,0.176471,0.784314,1.095753,1.041522,0.004686
8,40,0.176471,0.803922,1.148756,1.042561,0.002632
8,41,0.176471,0.823529,1.199504,1.043599,0.001423
8,42,0.176471,0.843137,1.247228,1.044637,0.000740
8,43,0.176471,0.862745,1.291205,1.045675,0.000370
8,44,0.176471,0.882353,1.330767,1.046713,0.000178
8,45,0.176471,0.901961,1.365315,1.047751,0.000083
8,46,0.176471,0.921569,1.394325,1.048789,0.000037
8,47,0.176471,0.941176,1.417357,1.049827,0.000016
8,48,0.176471,0.960784,1.434063,1.050865,0.000007
8,49,0.176471,0.980392,1.444189,1.051903,0.000003
9,0,0.196078,0.019608,1.468003,1.001153,0.000005
9,1,0.196078,0.039216,1.457334,1.002307,0.000012
9,2,0.196078,0.058824,1.439733,1.003460,0.000029
9,3,0.196078,0.078431,1.415465,1.004614,0.000068
9,4,0.196078,0.098039,1.384900,1.005767,0.000153
9,5,0.196078,0.117647,1.348500,1.006920,0.000330
9,6,0.196078,0.137255,1.306817,1.008074,0.000685
9,7,0.196078,0.156863,1.260483,1.009227,0.001369
